--------------------------------------------------------------------------------------------------------
|                                         ListFoundationModels                                         |
+------------------------------------------------+-------------------------------------+---------------+
|                     ModelId                    |                Name                 |   Provider    |
|  anthropic.claude-3-haiku-20240307-v1:0        |  Claude 3 Haiku                     |  Anthropic    |
|  anthropic.claude-3-opus-20240229-v1:0:12k     |  Claude 3 Opus                      |  Anthropic    |
|  anthropic.claude-3-opus-20240229-v1:0:28k     |  Claude 3 Opus                      |  Anthropic    |
|  anthropic.claude-3-opus-20240229-v1:0:200k    |  Claude 3 Opus                      |  Anthropic    |
|  anthropic.claude-3-opus-20240229-v1:0         |  Claude 3 Opus                      |  Anthropic    |
|  anthropic.claude-3-5-sonnet-20240620-v1:0     |  Claude 3.5 Sonnet                  |  Anthropic    |
|  anthropic.claude-3-5-sonnet-20241022-v2:0     |  Claude 3.5 Sonnet v2               |  Anthropic    |
|  anthropic.claude-3-7-sonnet-20250219-v1:0     |  Claude 3.7 Sonnet                  |  Anthropic    |
|  anthropic.claude-3-5-haiku-20241022-v1:0      |  Claude 3.5 Haiku                   |  Anthropic    |
|  anthropic.claude-opus-4-20250514-v1:0         |  Claude Opus 4                      |  Anthropic    |
|  cohere.command-r-v1:0                         |  Command R                          |  Cohere       |
|  cohere.command-r-plus-v1:0                    |  Command R+                         |  Cohere       |
|  cohere.embed-english-v3:0:512                 |  Embed English                      |  Cohere       |
|  cohere.embed-english-v3                       |  Embed English                      |  Cohere       |
|  cohere.embed-multilingual-v3:0:512            |  Embed Multilingual                 |  Cohere       |
|  cohere.embed-multilingual-v3                  |  Embed Multilingual                 |  Cohere       |
|  cohere.rerank-v3-5:0                          |  Rerank 3.5                         |  Cohere       |
|  deepseek.r1-v1:0                              |  DeepSeek-R1                        |  DeepSeek     |
|  meta.llama3-8b-instruct-v1:0                  |  Llama 3 8B Instruct                |  Meta         |
|  meta.llama3-70b-instruct-v1:0                 |  Llama 3 70B Instruct               |  Meta         |
|  meta.llama3-1-8b-instruct-v1:0                |  Llama 3.1 8B Instruct              |  Meta         |
|  meta.llama3-1-70b-instruct-v1:0               |  Llama 3.1 70B Instruct             |  Meta         |
|  meta.llama3-2-11b-instruct-v1:0               |  Llama 3.2 11B Instruct             |  Meta         |
|  meta.llama3-2-90b-instruct-v1:0               |  Llama 3.2 90B Instruct             |  Meta         |
|  meta.llama3-2-1b-instruct-v1:0                |  Llama 3.2 1B Instruct              |  Meta         |
|  meta.llama3-2-3b-instruct-v1:0                |  Llama 3.2 3B Instruct              |  Meta         |
|  meta.llama3-3-70b-instruct-v1:0               |  Llama 3.3 70B Instruct             |  Meta         |
|  meta.llama4-scout-17b-instruct-v1:0           |  Llama 4 Scout 17B Instruct         |  Meta         |
|  meta.llama4-maverick-17b-instruct-v1:0        |  Llama 4 Maverick 17B Instruct      |  Meta         |
|  mistral.mistral-7b-instruct-v0:2              |  Mistral 7B Instruct                |  Mistral AI   |
|  mistral.mixtral-8x7b-instruct-v0:1            |  Mixtral 8x7B Instruct              |  Mistral AI   |
|  mistral.mistral-large-2402-v1:0               |  Mistral Large (24.02)              |  Mistral AI   |
|  mistral.mistral-small-2402-v1:0               |  Mistral Small (24.02)              |  Mistral AI   |
|  mistral.pixtral-large-2502-v1:0               |  Pixtral Large (25.02)              |  Mistral AI   |
+------------------------------------------------+-------------------------------------+---------------+
